Processes: 212 total, 4 running, 6 stuck, 202 sleeping, 1019 threads 
2014/07/31 06:55:02
Load Avg: 2.07, 2.75, 2.64 
CPU usage: 32.91% user, 45.56% sys, 21.51% idle 
SharedLibs: 9412K resident, 8388K data, 0B linkedit.
MemRegions: 46292 total, 1220M resident, 72M private, 346M shared.
PhysMem: 3004M used (1134M wired), 19M unused.
VM: 528G vsize, 1068M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 31360782/25G in, 29845626/18G out.
Disks: 978252/21G read, 388862/16G written.

PID    COMMAND          %CPU TIME     #TH  #WQ #PORTS #MREGS MEM    RPRVT  PURG   CMPRS  VPRVT VSIZE  PGRP  PPID  STATE    UID FAULTS    COW      MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS KPRVT  KSHRD  IDLEW    POWER USER           
77217  USBAgent         0.0  00:00.02 2    1   39+    46+    68K+   36K+   0B     1052K+ 53M+  2412M+ 77217 424   sleeping 501 1807+     179+     137+      68+       665+      285+      202+       4+      210K+  51K+   5        0.0   tgreen         
76067  Transporter Desk 0.0  88:28.71 28   16  275+   425+   25M+   24M+   0B     58M+   246M+ 2698M+ 76067 424   sleeping 501 1139889+  4250+    2496670+  1519813+  71408348+ 6263783+  6992460+   2947+   17M+   -285M+ 136229   0.0   tgreen         
71772  check_afp        0.0  00:05.44 4    0   48+    41+    492K+  328K+  0B     436K+  53M+  2411M+ 71772 1     sleeping 0   2091+     85+      1873+     633+      12384+    7437+     8266+      18+     1247K+ 208K+  415      0.0   root           
71672  AirPlayUIAgent   0.0  00:01.16 3    0   195+   78+    1588K+ 1036K+ 0B     1288K+ 53M+  2454M+ 71672 424   sleeping 501 10108+    250+     25564+    8222+     35983+    41507+    36743+     62+     2211K+ -2M+   495      0.0   tgreen         
68785  top              0.0  00:00.19 1/1  0   20+    39+    1820K+ 1616K+ 0B     0B     45M+  2403M+ 68070 1     running  0   2233+     78+      107347+   53673+    749+      55809+    149+       1+      141K+  58K+   0        0.0   root           
68467  mdworker         0.0  00:00.04 6    3   54+    61+    1700K+ 1004K+ 0B     0B     55M+  2438M+ 68467 435   stuck    89  1790+     193+     456+      204+      1129+     474+      255+       4+      225K+  99K+   0        0.0   _spotlight     
68466  mdworker         0.0  00:00.05 6    3   54+    61+    1724K+ 1028K+ 0B     0B     55M+  2438M+ 68466 435   stuck    89  1829+     199+     456+      204+      1123+     478+      273+       5+      222K+  110K+  1        0.0   _spotlight     
68465  mdworker         0.0  00:00.03 6    3   54+    61+    1616K+ 920K+  0B     0B     55M+  2438M+ 68465 435   stuck    89  1659+     204+     456+      204+      719+      475+      243+       3+      228K+  116K+  0        0.0   _spotlight     
68432  hazelworker      0.0  00:00.58 5    3   56+    143+   30M+   45M+   0B     0B     110M+ 2508M+ 68432 790   sleeping 501 24267+    4410+    385+      168+      2942+     747+      839+       0       29K+   32K+   0        0.0   tgreen         
68070  sh               0.0  00:00.25 1    0   15+    32+    732K+  632K+  0B     0B     44M+  2403M+ 68070 34108 sleeping 501 21234+    10921+   22+       11+       9825+     56+       1198+      0       5857K+ 4980K+ 0        0.0   tgreen         
67901  com.connecteddat 0.0  00:00.01 2    0   25+    44+    968K+  416K+  0B     0B     44M+  2402M+ 67901 1     sleeping 0   1344+     175+     39+       16+       299+      95+       28+        0       171K+  37K+   0        0.0   root           
66073  DiskUnmountWatch 0.0  00:00.05 2    1   34+    49+    488K+  288K+  0B     348K+  53M+  2411M+ 66073 424   sleeping 501 1673+     133+     147+      61+       1076+     256+      498+       94+     219K+  92K+   12       0.0   tgreen         
